transaction_id,customer_id,account_id,transaction_type,status,amount,currency,transaction_timestamp,posted_timestamp,merchant_id,merchant_category,merchant_country,description,reference_number
TXN-000001,CUST-100,ACCT-2001,DEBIT,POSTED,250.00,USD,2026-05-20 09:12:33,2026-05-20 09:12:35,MERCH-1001,GROCERY,US,Whole Foods groceries,REF-X-9001
TXN-000002,CUST-100,ACCT-2001,DEBIT,POSTED,89.50,USD,2026-05-20 10:05:00,2026-05-20 10:05:01,MERCH-1002,RESTAURANT,US,Local restaurant dinner,REF-X-9002
TXN-000003,CUST-101,ACCT-2002,CREDIT,POSTED,1500.00,USD,2026-05-20 08:30:00,2026-05-20 08:30:02,MERCH-1003,SALARY,US,Salary deposit,REF-X-9003
TXN-000004,CUST-102,ACCT-2003,DEBIT,POSTED,12500.00,EUR,2026-05-20 11:00:00,2026-05-20 11:00:05,MERCH-1004,WIRE_TRANSFER,DE,Wire transfer to vendor,REF-X-9004
TXN-000005,CUST-103,ACCT-2004,DEBIT,POSTED,95000.00,GBP,2026-05-20 12:15:00,2026-05-20 12:15:10,MERCH-1005,LUXURY_GOODS,GB,Luxury watch purchase,REF-X-9005
TXN-000006,CUST-104,ACCT-2005,DEBIT,POSTED,45.20,EUR,2026-05-20 13:00:00,2026-05-20 13:00:01,MERCH-1006,GROCERY,FR,Carrefour grocery,REF-X-9006
TXN-000007,CUST-104,ACCT-2005,DEBIT,POSTED,1200.00,USD,2026-05-20 13:15:00,2026-05-20 13:15:02,MERCH-1007,TRAVEL,US,Flight booking,REF-X-9007
TXN-000008,CUST-105,ACCT-2006,DEBIT,POSTED,8500.00,INR,2026-05-20 14:00:00,2026-05-20 14:00:01,MERCH-1008,RETAIL,IN,Electronics purchase,REF-X-9008
TXN-000009,CUST-106,ACCT-2007,DEBIT,POSTED,750.00,USD,2026-05-20 14:30:00,2026-05-20 14:30:02,MERCH-1009,AUTO_RENTAL,US,Car rental,REF-X-9009
TXN-000010,CUST-106,ACCT-2007,DEBIT,POSTED,80.00,USD,2026-05-20 14:32:00,2026-05-20 14:32:02,MERCH-1010,GAS_STATION,US,Gas station,REF-X-9010
TXN-000011,CUST-107,ACCT-2008,DEBIT,POSTED,150.00,USD,2026-05-20 15:00:00,2026-05-20 15:00:01,MERCH-1011,COFFEE,US,Starbucks,REF-X-9011
TXN-000012,CUST-107,ACCT-2008,DEBIT,POSTED,150.00,USD,2026-05-20 15:05:00,2026-05-20 15:05:01,MERCH-1011,COFFEE,US,Starbucks,REF-X-9012
TXN-000013,CUST-107,ACCT-2008,DEBIT,POSTED,150.00,USD,2026-05-20 15:08:00,2026-05-20 15:08:01,MERCH-1011,COFFEE,US,Starbucks,REF-X-9013
TXN-000014,CUST-107,ACCT-2008,DEBIT,POSTED,150.00,USD,2026-05-20 15:10:00,2026-05-20 15:10:01,MERCH-1011,COFFEE,US,Starbucks,REF-X-9014
TXN-000015,CUST-107,ACCT-2008,DEBIT,POSTED,150.00,USD,2026-05-20 15:12:00,2026-05-20 15:12:01,MERCH-1011,COFFEE,US,Starbucks,REF-X-9015
TXN-000016,CUST-107,ACCT-2008,DEBIT,POSTED,150.00,USD,2026-05-20 15:14:00,2026-05-20 15:14:01,MERCH-1011,COFFEE,US,Starbucks,REF-X-9016
TXN-000017,CUST-107,ACCT-2008,DEBIT,POSTED,150.00,USD,2026-05-20 15:16:00,2026-05-20 15:16:01,MERCH-1011,COFFEE,US,Starbucks,REF-X-9017
TXN-000018,CUST-107,ACCT-2008,DEBIT,POSTED,150.00,USD,2026-05-20 15:18:00,2026-05-20 15:18:01,MERCH-1011,COFFEE,US,Starbucks,REF-X-9018
TXN-000019,CUST-107,ACCT-2008,DEBIT,POSTED,150.00,USD,2026-05-20 15:20:00,2026-05-20 15:20:01,MERCH-1011,COFFEE,US,Starbucks,REF-X-9019
TXN-000020,CUST-107,ACCT-2008,DEBIT,POSTED,150.00,USD,2026-05-20 15:22:00,2026-05-20 15:22:01,MERCH-1011,COFFEE,US,Starbucks,REF-X-9020
TXN-000021,CUST-108,ACCT-2009,DEBIT,POSTED,300.00,USD,2026-05-20 16:00:00,2026-05-20 16:00:01,MERCH-1012,RETAIL,US,Online retail,REF-X-9021
TXN-000022,CUST-108,ACCT-2009,DEBIT,POSTED,250.00,GBP,2026-05-20 16:30:00,2026-05-20 16:30:01,MERCH-1013,RETAIL,GB,Online retail UK,REF-X-9022
TXN-000023,CUST-109,ACCT-2010,DEBIT,POSTED,4500.00,EUR,2026-05-20 17:00:00,2026-05-20 17:00:02,MERCH-1014,WIRE_TRANSFER,IT,Wire to Italy,REF-X-9023
TXN-000024,CUST-110,ACCT-2011,DEBIT,POSTED,55.75,USD,2026-05-20 18:00:00,2026-05-20 18:00:01,MERCH-1015,GROCERY,US,Trader Joes,REF-X-9024
TXN-000025,CUST-110,ACCT-2011,DEBIT,POSTED,89.99,USD,2026-05-20 18:15:00,2026-05-20 18:15:01,MERCH-1016,STREAMING,US,Subscription,REF-X-9025
